startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresStdErMean,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF
"2018-12-01T00:00:00Z","2018-12-01T00:30:00Z",,,,,,,,1,,,1
"2018-12-01T00:30:00Z","2018-12-01T01:00:00Z",,,,,,,,1,,,1
"2018-12-01T01:00:00Z","2018-12-01T01:30:00Z",,,,,,,,1,,,1
"2018-12-01T01:30:00Z","2018-12-01T02:00:00Z",,,,,,,,1,,,1
"2018-12-01T02:00:00Z","2018-12-01T02:30:00Z",,,,,,,,1,,,1
"2018-12-01T02:30:00Z","2018-12-01T03:00:00Z",,,,,,,,1,,,1
"2018-12-01T03:00:00Z","2018-12-01T03:30:00Z",,,,,,,,1,,,1
"2018-12-01T03:30:00Z","2018-12-01T04:00:00Z",,,,,,,,1,,,1
"2018-12-01T04:00:00Z","2018-12-01T04:30:00Z",,,,,,,,1,,,1
"2018-12-01T04:30:00Z","2018-12-01T05:00:00Z",,,,,,,,1,,,1
"2018-12-01T05:00:00Z","2018-12-01T05:30:00Z",,,,,,,,1,,,1
"2018-12-01T05:30:00Z","2018-12-01T06:00:00Z",,,,,,,,1,,,1
"2018-12-01T06:00:00Z","2018-12-01T06:30:00Z",,,,,,,,1,,,1
"2018-12-01T06:30:00Z","2018-12-01T07:00:00Z",,,,,,,,1,,,1
"2018-12-01T07:00:00Z","2018-12-01T07:30:00Z",,,,,,,,1,,,1
"2018-12-01T07:30:00Z","2018-12-01T08:00:00Z",,,,,,,,1,,,1
"2018-12-01T08:00:00Z","2018-12-01T08:30:00Z",,,,,,,,1,,,1
"2018-12-01T08:30:00Z","2018-12-01T09:00:00Z",,,,,,,,1,,,1
"2018-12-01T09:00:00Z","2018-12-01T09:30:00Z",,,,,,,,1,,,1
"2018-12-01T09:30:00Z","2018-12-01T10:00:00Z",,,,,,,,1,,,1
"2018-12-01T10:00:00Z","2018-12-01T10:30:00Z",,,,,,,,1,,,1
"2018-12-01T10:30:00Z","2018-12-01T11:00:00Z",,,,,,,,1,,,1
"2018-12-01T11:00:00Z","2018-12-01T11:30:00Z",,,,,,,,1,,,1
"2018-12-01T11:30:00Z","2018-12-01T12:00:00Z",,,,,,,,1,,,1
"2018-12-01T12:00:00Z","2018-12-01T12:30:00Z",,,,,,,,1,,,1
"2018-12-01T12:30:00Z","2018-12-01T13:00:00Z",,,,,,,,1,,,1
"2018-12-01T13:00:00Z","2018-12-01T13:30:00Z",,,,,,,,1,,,1
"2018-12-01T13:30:00Z","2018-12-01T14:00:00Z",,,,,,,,1,,,1
"2018-12-01T14:00:00Z","2018-12-01T14:30:00Z",,,,,,,,1,,,1
"2018-12-01T14:30:00Z","2018-12-01T15:00:00Z",,,,,,,,1,,,1
"2018-12-01T15:00:00Z","2018-12-01T15:30:00Z",,,,,,,,1,,,1
"2018-12-01T15:30:00Z","2018-12-01T16:00:00Z",,,,,,,,1,,,1
"2018-12-01T16:00:00Z","2018-12-01T16:30:00Z",,,,,,,,1,,,1
"2018-12-01T16:30:00Z","2018-12-01T17:00:00Z",,,,,,,,1,,,1
"2018-12-01T17:00:00Z","2018-12-01T17:30:00Z",,,,,,,,1,,,1
"2018-12-01T17:30:00Z","2018-12-01T18:00:00Z",,,,,,,,1,,,1
"2018-12-01T18:00:00Z","2018-12-01T18:30:00Z",,,,,,,,1,,,1
"2018-12-01T18:30:00Z","2018-12-01T19:00:00Z",,,,,,,,1,,,1
"2018-12-01T19:00:00Z","2018-12-01T19:30:00Z",,,,,,,,1,,,1
"2018-12-01T19:30:00Z","2018-12-01T20:00:00Z",,,,,,,,1,,,1
"2018-12-01T20:00:00Z","2018-12-01T20:30:00Z",,,,,,,,1,,,1
"2018-12-01T20:30:00Z","2018-12-01T21:00:00Z",,,,,,,,1,,,1
"2018-12-01T21:00:00Z","2018-12-01T21:30:00Z",,,,,,,,1,,,1
"2018-12-01T21:30:00Z","2018-12-01T22:00:00Z",,,,,,,,1,,,1
"2018-12-01T22:00:00Z","2018-12-01T22:30:00Z",,,,,,,,1,,,1
"2018-12-01T22:30:00Z","2018-12-01T23:00:00Z",,,,,,,,1,,,1
"2018-12-01T23:00:00Z","2018-12-01T23:30:00Z",,,,,,,,1,,,1
"2018-12-01T23:30:00Z","2018-12-02T00:00:00Z",,,,,,,,1,,,1
"2018-12-02T00:00:00Z","2018-12-02T00:30:00Z",,,,,,,,1,,,1
"2018-12-02T00:30:00Z","2018-12-02T01:00:00Z",,,,,,,,1,,,1
"2018-12-02T01:00:00Z","2018-12-02T01:30:00Z",,,,,,,,1,,,1
"2018-12-02T01:30:00Z","2018-12-02T02:00:00Z",,,,,,,,1,,,1
"2018-12-02T02:00:00Z","2018-12-02T02:30:00Z",,,,,,,,1,,,1
"2018-12-02T02:30:00Z","2018-12-02T03:00:00Z",,,,,,,,1,,,1
"2018-12-02T03:00:00Z","2018-12-02T03:30:00Z",,,,,,,,1,,,1
"2018-12-02T03:30:00Z","2018-12-02T04:00:00Z",,,,,,,,1,,,1
"2018-12-02T04:00:00Z","2018-12-02T04:30:00Z",,,,,,,,1,,,1
"2018-12-02T04:30:00Z","2018-12-02T05:00:00Z",,,,,,,,1,,,1
"2018-12-02T05:00:00Z","2018-12-02T05:30:00Z",,,,,,,,1,,,1
"2018-12-02T05:30:00Z","2018-12-02T06:00:00Z",,,,,,,,1,,,1
"2018-12-02T06:00:00Z","2018-12-02T06:30:00Z",,,,,,,,1,,,1
"2018-12-02T06:30:00Z","2018-12-02T07:00:00Z",,,,,,,,1,,,1
"2018-12-02T07:00:00Z","2018-12-02T07:30:00Z",,,,,,,,1,,,1
"2018-12-02T07:30:00Z","2018-12-02T08:00:00Z",,,,,,,,1,,,1
"2018-12-02T08:00:00Z","2018-12-02T08:30:00Z",,,,,,,,1,,,1
"2018-12-02T08:30:00Z","2018-12-02T09:00:00Z",,,,,,,,1,,,1
"2018-12-02T09:00:00Z","2018-12-02T09:30:00Z",,,,,,,,1,,,1
"2018-12-02T09:30:00Z","2018-12-02T10:00:00Z",,,,,,,,1,,,1
"2018-12-02T10:00:00Z","2018-12-02T10:30:00Z",,,,,,,,1,,,1
"2018-12-02T10:30:00Z","2018-12-02T11:00:00Z",,,,,,,,1,,,1
"2018-12-02T11:00:00Z","2018-12-02T11:30:00Z",,,,,,,,1,,,1
"2018-12-02T11:30:00Z","2018-12-02T12:00:00Z",,,,,,,,1,,,1
"2018-12-02T12:00:00Z","2018-12-02T12:30:00Z",,,,,,,,1,,,1
"2018-12-02T12:30:00Z","2018-12-02T13:00:00Z",,,,,,,,1,,,1
"2018-12-02T13:00:00Z","2018-12-02T13:30:00Z",,,,,,,,1,,,1
"2018-12-02T13:30:00Z","2018-12-02T14:00:00Z",,,,,,,,1,,,1
"2018-12-02T14:00:00Z","2018-12-02T14:30:00Z",,,,,,,,1,,,1
"2018-12-02T14:30:00Z","2018-12-02T15:00:00Z",,,,,,,,1,,,1
"2018-12-02T15:00:00Z","2018-12-02T15:30:00Z",,,,,,,,1,,,1
"2018-12-02T15:30:00Z","2018-12-02T16:00:00Z",,,,,,,,1,,,1
"2018-12-02T16:00:00Z","2018-12-02T16:30:00Z",,,,,,,,1,,,1
"2018-12-02T16:30:00Z","2018-12-02T17:00:00Z",,,,,,,,1,,,1
"2018-12-02T17:00:00Z","2018-12-02T17:30:00Z",,,,,,,,1,,,1
"2018-12-02T17:30:00Z","2018-12-02T18:00:00Z",,,,,,,,1,,,1
"2018-12-02T18:00:00Z","2018-12-02T18:30:00Z",,,,,,,,1,,,1
"2018-12-02T18:30:00Z","2018-12-02T19:00:00Z",,,,,,,,1,,,1
"2018-12-02T19:00:00Z","2018-12-02T19:30:00Z",,,,,,,,1,,,1
"2018-12-02T19:30:00Z","2018-12-02T20:00:00Z",,,,,,,,1,,,1
"2018-12-02T20:00:00Z","2018-12-02T20:30:00Z",,,,,,,,1,,,1
"2018-12-02T20:30:00Z","2018-12-02T21:00:00Z",,,,,,,,1,,,1
"2018-12-02T21:00:00Z","2018-12-02T21:30:00Z",,,,,,,,1,,,1
"2018-12-02T21:30:00Z","2018-12-02T22:00:00Z",,,,,,,,1,,,1
"2018-12-02T22:00:00Z","2018-12-02T22:30:00Z",,,,,,,,1,,,1
"2018-12-02T22:30:00Z","2018-12-02T23:00:00Z",,,,,,,,1,,,1
"2018-12-02T23:00:00Z","2018-12-02T23:30:00Z",,,,,,,,1,,,1
"2018-12-02T23:30:00Z","2018-12-03T00:00:00Z",,,,,,,,1,,,1
"2018-12-03T00:00:00Z","2018-12-03T00:30:00Z",,,,,,,,1,,,1
"2018-12-03T00:30:00Z","2018-12-03T01:00:00Z",,,,,,,,1,,,1
"2018-12-03T01:00:00Z","2018-12-03T01:30:00Z",,,,,,,,1,,,1
"2018-12-03T01:30:00Z","2018-12-03T02:00:00Z",,,,,,,,1,,,1
"2018-12-03T02:00:00Z","2018-12-03T02:30:00Z",,,,,,,,1,,,1
"2018-12-03T02:30:00Z","2018-12-03T03:00:00Z",,,,,,,,1,,,1
"2018-12-03T03:00:00Z","2018-12-03T03:30:00Z",,,,,,,,1,,,1
"2018-12-03T03:30:00Z","2018-12-03T04:00:00Z",,,,,,,,1,,,1
"2018-12-03T04:00:00Z","2018-12-03T04:30:00Z",,,,,,,,1,,,1
"2018-12-03T04:30:00Z","2018-12-03T05:00:00Z",,,,,,,,1,,,1
"2018-12-03T05:00:00Z","2018-12-03T05:30:00Z",,,,,,,,1,,,1
"2018-12-03T05:30:00Z","2018-12-03T06:00:00Z",,,,,,,,1,,,1
"2018-12-03T06:00:00Z","2018-12-03T06:30:00Z",,,,,,,,1,,,1
"2018-12-03T06:30:00Z","2018-12-03T07:00:00Z",,,,,,,,1,,,1
"2018-12-03T07:00:00Z","2018-12-03T07:30:00Z",,,,,,,,1,,,1
"2018-12-03T07:30:00Z","2018-12-03T08:00:00Z",,,,,,,,1,,,1
"2018-12-03T08:00:00Z","2018-12-03T08:30:00Z",,,,,,,,1,,,1
"2018-12-03T08:30:00Z","2018-12-03T09:00:00Z",,,,,,,,1,,,1
"2018-12-03T09:00:00Z","2018-12-03T09:30:00Z",,,,,,,,1,,,1
"2018-12-03T09:30:00Z","2018-12-03T10:00:00Z",,,,,,,,1,,,1
"2018-12-03T10:00:00Z","2018-12-03T10:30:00Z",,,,,,,,1,,,1
"2018-12-03T10:30:00Z","2018-12-03T11:00:00Z",,,,,,,,1,,,1
"2018-12-03T11:00:00Z","2018-12-03T11:30:00Z",,,,,,,,1,,,1
"2018-12-03T11:30:00Z","2018-12-03T12:00:00Z",,,,,,,,1,,,1
"2018-12-03T12:00:00Z","2018-12-03T12:30:00Z",,,,,,,,1,,,1
"2018-12-03T12:30:00Z","2018-12-03T13:00:00Z",,,,,,,,1,,,1
"2018-12-03T13:00:00Z","2018-12-03T13:30:00Z",,,,,,,,1,,,1
"2018-12-03T13:30:00Z","2018-12-03T14:00:00Z",,,,,,,,1,,,1
"2018-12-03T14:00:00Z","2018-12-03T14:30:00Z",,,,,,,,1,,,1
"2018-12-03T14:30:00Z","2018-12-03T15:00:00Z",,,,,,,,1,,,1
"2018-12-03T15:00:00Z","2018-12-03T15:30:00Z",,,,,,,,1,,,1
"2018-12-03T15:30:00Z","2018-12-03T16:00:00Z",,,,,,,,1,,,1
"2018-12-03T16:00:00Z","2018-12-03T16:30:00Z",,,,,,,,1,,,1
"2018-12-03T16:30:00Z","2018-12-03T17:00:00Z",,,,,,,,1,,,1
"2018-12-03T17:00:00Z","2018-12-03T17:30:00Z",,,,,,,,1,,,1
"2018-12-03T17:30:00Z","2018-12-03T18:00:00Z",,,,,,,,1,,,1
"2018-12-03T18:00:00Z","2018-12-03T18:30:00Z",,,,,,,,1,,,1
"2018-12-03T18:30:00Z","2018-12-03T19:00:00Z",,,,,,,,1,,,1
"2018-12-03T19:00:00Z","2018-12-03T19:30:00Z",,,,,,,,1,,,1
"2018-12-03T19:30:00Z","2018-12-03T20:00:00Z",,,,,,,,1,,,1
"2018-12-03T20:00:00Z","2018-12-03T20:30:00Z",,,,,,,,1,,,1
"2018-12-03T20:30:00Z","2018-12-03T21:00:00Z",,,,,,,,1,,,1
"2018-12-03T21:00:00Z","2018-12-03T21:30:00Z",,,,,,,,1,,,1
"2018-12-03T21:30:00Z","2018-12-03T22:00:00Z",,,,,,,,1,,,1
"2018-12-03T22:00:00Z","2018-12-03T22:30:00Z",,,,,,,,1,,,1
"2018-12-03T22:30:00Z","2018-12-03T23:00:00Z",,,,,,,,1,,,1
"2018-12-03T23:00:00Z","2018-12-03T23:30:00Z",,,,,,,,1,,,1
"2018-12-03T23:30:00Z","2018-12-04T00:00:00Z",,,,,,,,1,,,1
"2018-12-04T00:00:00Z","2018-12-04T00:30:00Z",,,,,,,,1,,,1
"2018-12-04T00:30:00Z","2018-12-04T01:00:00Z",,,,,,,,1,,,1
"2018-12-04T01:00:00Z","2018-12-04T01:30:00Z",,,,,,,,1,,,1
"2018-12-04T01:30:00Z","2018-12-04T02:00:00Z",,,,,,,,1,,,1
"2018-12-04T02:00:00Z","2018-12-04T02:30:00Z",,,,,,,,1,,,1
"2018-12-04T02:30:00Z","2018-12-04T03:00:00Z",,,,,,,,1,,,1
"2018-12-04T03:00:00Z","2018-12-04T03:30:00Z",,,,,,,,1,,,1
"2018-12-04T03:30:00Z","2018-12-04T04:00:00Z",,,,,,,,1,,,1
"2018-12-04T04:00:00Z","2018-12-04T04:30:00Z",,,,,,,,1,,,1
"2018-12-04T04:30:00Z","2018-12-04T05:00:00Z",,,,,,,,1,,,1
"2018-12-04T05:00:00Z","2018-12-04T05:30:00Z",,,,,,,,1,,,1
"2018-12-04T05:30:00Z","2018-12-04T06:00:00Z",,,,,,,,1,,,1
"2018-12-04T06:00:00Z","2018-12-04T06:30:00Z",,,,,,,,1,,,1
"2018-12-04T06:30:00Z","2018-12-04T07:00:00Z",,,,,,,,1,,,1
"2018-12-04T07:00:00Z","2018-12-04T07:30:00Z",,,,,,,,1,,,1
"2018-12-04T07:30:00Z","2018-12-04T08:00:00Z",,,,,,,,1,,,1
"2018-12-04T08:00:00Z","2018-12-04T08:30:00Z",,,,,,,,1,,,1
"2018-12-04T08:30:00Z","2018-12-04T09:00:00Z",,,,,,,,1,,,1
"2018-12-04T09:00:00Z","2018-12-04T09:30:00Z",,,,,,,,1,,,1
"2018-12-04T09:30:00Z","2018-12-04T10:00:00Z",,,,,,,,1,,,1
"2018-12-04T10:00:00Z","2018-12-04T10:30:00Z",,,,,,,,1,,,1
"2018-12-04T10:30:00Z","2018-12-04T11:00:00Z",,,,,,,,1,,,1
"2018-12-04T11:00:00Z","2018-12-04T11:30:00Z",,,,,,,,1,,,1
"2018-12-04T11:30:00Z","2018-12-04T12:00:00Z",,,,,,,,1,,,1
"2018-12-04T12:00:00Z","2018-12-04T12:30:00Z",,,,,,,,1,,,1
"2018-12-04T12:30:00Z","2018-12-04T13:00:00Z",,,,,,,,1,,,1
"2018-12-04T13:00:00Z","2018-12-04T13:30:00Z",,,,,,,,1,,,1
"2018-12-04T13:30:00Z","2018-12-04T14:00:00Z",,,,,,,,1,,,1
"2018-12-04T14:00:00Z","2018-12-04T14:30:00Z",,,,,,,,1,,,1
"2018-12-04T14:30:00Z","2018-12-04T15:00:00Z",,,,,,,,1,,,1
"2018-12-04T15:00:00Z","2018-12-04T15:30:00Z",,,,,,,,1,,,1
"2018-12-04T15:30:00Z","2018-12-04T16:00:00Z",,,,,,,,1,,,1
"2018-12-04T16:00:00Z","2018-12-04T16:30:00Z",,,,,,,,1,,,1
"2018-12-04T16:30:00Z","2018-12-04T17:00:00Z",,,,,,,,1,,,1
"2018-12-04T17:00:00Z","2018-12-04T17:30:00Z",,,,,,,,1,,,1
"2018-12-04T17:30:00Z","2018-12-04T18:00:00Z",,,,,,,,1,,,1
"2018-12-04T18:00:00Z","2018-12-04T18:30:00Z",,,,,,,,1,,,1
"2018-12-04T18:30:00Z","2018-12-04T19:00:00Z",,,,,,,,1,,,1
"2018-12-04T19:00:00Z","2018-12-04T19:30:00Z",,,,,,,,1,,,1
"2018-12-04T19:30:00Z","2018-12-04T20:00:00Z",,,,,,,,1,,,1
"2018-12-04T20:00:00Z","2018-12-04T20:30:00Z",,,,,,,,1,,,1
"2018-12-04T20:30:00Z","2018-12-04T21:00:00Z",,,,,,,,1,,,1
"2018-12-04T21:00:00Z","2018-12-04T21:30:00Z",,,,,,,,1,,,1
"2018-12-04T21:30:00Z","2018-12-04T22:00:00Z",,,,,,,,1,,,1
"2018-12-04T22:00:00Z","2018-12-04T22:30:00Z",,,,,,,,1,,,1
"2018-12-04T22:30:00Z","2018-12-04T23:00:00Z",,,,,,,,1,,,1
"2018-12-04T23:00:00Z","2018-12-04T23:30:00Z",,,,,,,,1,,,1
"2018-12-04T23:30:00Z","2018-12-05T00:00:00Z",,,,,,,,1,,,1
"2018-12-05T00:00:00Z","2018-12-05T00:30:00Z",,,,,,,,1,,,1
"2018-12-05T00:30:00Z","2018-12-05T01:00:00Z",,,,,,,,1,,,1
"2018-12-05T01:00:00Z","2018-12-05T01:30:00Z",,,,,,,,1,,,1
"2018-12-05T01:30:00Z","2018-12-05T02:00:00Z",,,,,,,,1,,,1
"2018-12-05T02:00:00Z","2018-12-05T02:30:00Z",,,,,,,,1,,,1
"2018-12-05T02:30:00Z","2018-12-05T03:00:00Z",,,,,,,,1,,,1
"2018-12-05T03:00:00Z","2018-12-05T03:30:00Z",,,,,,,,1,,,1
"2018-12-05T03:30:00Z","2018-12-05T04:00:00Z",,,,,,,,1,,,1
"2018-12-05T04:00:00Z","2018-12-05T04:30:00Z",,,,,,,,1,,,1
"2018-12-05T04:30:00Z","2018-12-05T05:00:00Z",,,,,,,,1,,,1
"2018-12-05T05:00:00Z","2018-12-05T05:30:00Z",,,,,,,,1,,,1
"2018-12-05T05:30:00Z","2018-12-05T06:00:00Z",,,,,,,,1,,,1
"2018-12-05T06:00:00Z","2018-12-05T06:30:00Z",,,,,,,,1,,,1
"2018-12-05T06:30:00Z","2018-12-05T07:00:00Z",,,,,,,,1,,,1
